username,userid,profile_location,created_at,text,retweet_count,source,coordinates
A L L 💪🏾 M I G H T,70474909,Lost in the SEA,2023-01-21 02:08:55,"“How can you not adore, better than before” @ Space Needle https://t.co/qelGG03MuY",0,Instagram,"{'type': 'Point', 'coordinates': [-122.34930479, 47.62050311]}"
KOMO News,16086928,"Seattle, WA",2023-01-20 21:30:00,"The camp is located at the intersection of Fairview Avenue and Mercer Street near the on-ramp to I-5.
https://t.co/OYKTPLV1Yy",1,TweetDeck,
seattle newswire,1517978818132135936,"Seattle, Washington",2023-01-20 20:35:00,"South Lake Union encampment neighbors report fires, ‘Mad Max’ weapons #seattle - KOMO News https://t.co/J0YsPoolBN",0,seattlebrief,
Seattle Office of Sustainability & Environment,376828612,"Seattle, Washington",2023-01-20 20:05:30,A single home’s yearly heating oil usage has a similar carbon footprint of driving from the Space Needle to SeaTac… https://t.co/R1AMB58nOD,0,Twitter Web App,
7on7 Association,1151615707160821760,"Seattle, WA",2023-01-20 17:06:08,The Space Needle Shootout 🏆 is up for grabs! We are only 8 days out. Plays will be made and viral moments created.… https://t.co/HFeyjiLekg,2,Twitter for iPhone,
Benny Drawbars,1580412213021806592,Seattle WA,2023-01-20 08:22:19,@SeattleKraken @space_needle It's up with Prince's guitar from the 2004 Rock Hall performance of 'While My Guitar G… https://t.co/RoDrGqWG0T,0,Twitter for Android,
Dicentranoire,33536959,"SEATTLE, WA",2023-01-20 08:12:31,@SeattleKraken @space_needle Just another Burky Bullet !,0,Twitter for iPhone,
KrakenCaptains,1438776758375878659,Seattle,2023-01-20 07:58:12,@SeattleKraken @space_needle It all balances out because Jonesy got rejected on the first attempt.,0,Twitter for iPhone,
Sean Bartley,14516237,"Seattle, WA",2023-01-20 03:06:18,@space_needle @EmpireStateBldg Awwwww besties.,0,Twitter Web App,
"Michael, good vibes only",2789100846,"Seattle, WA / Lynnwood, WA",2023-01-20 02:11:27,@ckb104 @cosmicplague Space needle lounge. You can there via the 100 level,0,Twitter for iPhone,
the garages covers,1482818978921783307,"Seattle, WA",2023-01-20 00:55:27,"Nothing But Thieves - ""durham climbs the space needle""",0,"Cheap Bots, Done Quick!",
Matt Cook,64739425,"New Jersey, USA!",2023-01-20 00:50:10,"Space Needle now, @NJDevils game later! #NJDevils https://t.co/xziZIKbcCH",0,Twitter for iPhone,
Lucille Hallberg,786993560679690241,"Seattle, WA",2023-01-19 20:57:28,@JeremiahOshan Orbital Orange like the Space Needle?,0,Twitter for iPhone,
